Dates;Open;Close;High;Low
03/04/2012 14:44:00;22,77;22,78;22,78;22,77
03/04/2012 14:45:00;22,78;22,77;22,78;22,77
03/04/2012 14:46:00;22,78;22,77;22,78;22,77
03/04/2012 14:47:00;22,78;22,77;22,78;22,77
03/04/2012 14:48:00;22,77;22,77;22,78;22,77
03/04/2012 14:49:00;22,77;22,77;22,78;22,77
03/04/2012 14:50:00;22,77;22,78;22,79;22,76
03/04/2012 14:51:00;22,77;22,78;22,79;22,77
03/04/2012 14:52:00;22,78;22,78;22,78;22,77
03/04/2012 14:53:00;22,78;22,8;22,8;22,78
03/04/2012 14:54:00;22,79;22,83;22,83;22,79
03/04/2012 14:55:00;22,83;22,82;22,84;22,81
03/04/2012 14:56:00;22,81;22,8;22,81;22,79
03/04/2012 14:57:00;22,79;22,79;22,8;22,79
03/04/2012 14:58:00;22,8;22,8;22,8;22,78
03/04/2012 14:59:00;22,79;22,79;22,8;22,79
03/04/2012 15:00:00;22,78;22,75;22,78;22,75
03/04/2012 15:01:00;22,75;22,77;22,77;22,75
03/04/2012 15:02:00;22,77;22,74;22,77;22,73
03/04/2012 15:03:00;22,74;22,73;22,74;22,72
03/04/2012 15:04:00;22,73;22,71;22,73;22,71
03/04/2012 15:05:00;22,72;22,72;22,75;22,71
03/04/2012 15:06:00;22,72;22,72;22,73;22,71
03/04/2012 15:07:00;22,73;22,71;22,74;22,71
03/04/2012 15:08:00;22,72;22,73;22,74;22,72
03/04/2012 15:09:00;22,72;22,72;22,73;22,71
03/04/2012 15:10:00;22,71;22,68;22,72;22,68
03/04/2012 15:11:00;22,69;22,68;22,7;22,68
03/04/2012 15:12:00;22,68;22,67;22,69;22,67
03/04/2012 15:13:00;22,68;22,69;22,69;22,67
03/04/2012 15:14:00;22,69;22,68;22,69;22,68
03/04/2012 15:15:00;22,68;22,66;22,69;22,66
03/04/2012 15:16:00;22,67;22,69;22,69;22,67
03/04/2012 15:17:00;22,69;22,7;22,7;22,68
03/04/2012 15:18:00;22,7;22,7;22,7;22,69
03/04/2012 15:19:00;22,7;22,72;22,72;22,69
03/04/2012 15:20:00;22,71;22,71;22,73;22,71
03/04/2012 15:21:00;22,72;22,7;22,72;22,69
03/04/2012 15:22:00;22,69;22,7;22,7;22,69
03/04/2012 15:23:00;22,7;22,7;22,7;22,7
03/04/2012 15:24:00;22,71;22,72;22,72;22,7
03/04/2012 15:25:00;22,72;22,72;22,72;22,71
03/04/2012 15:26:00;22,72;22,71;22,72;22,7
03/04/2012 15:27:00;22,71;22,71;22,72;22,7
03/04/2012 15:28:00;22,71;22,71;22,72;22,71
03/04/2012 15:29:00;22,71;22,69;22,71;22,69
03/04/2012 15:30:00;22,69;22,69;22,71;22,68
03/04/2012 15:31:00;22,69;22,66;22,69;22,66
03/04/2012 15:32:00;22,66;22,65;22,67;22,63
03/04/2012 15:33:00;22,65;22,65;22,66;22,64
03/04/2012 15:34:00;22,66;22,65;22,67;22,64
03/04/2012 15:35:00;22,65;22,63;22,65;22,62
03/04/2012 15:36:00;22,63;22,63;22,64;22,62
03/04/2012 15:37:00;22,64;22,62;22,64;22,62
03/04/2012 15:38:00;22,62;22,62;22,63;22,62
03/04/2012 15:39:00;22,62;22,59;22,62;22,58
03/04/2012 15:40:00;22,59;22,57;22,6;22,55
03/04/2012 15:41:00;22,58;22,57;22,58;22,56
03/04/2012 15:42:00;22,57;22,57;22,58;22,55
03/04/2012 15:43:00;22,57;22,58;22,58;22,57
03/04/2012 15:44:00;22,57;22,57;22,58;22,57
03/04/2012 15:45:00;22,58;22,56;22,58;22,55
03/04/2012 15:46:00;22,57;22,55;22,57;22,52
03/04/2012 15:47:00;22,56;22,57;22,58;22,54
03/04/2012 15:48:00;22,58;22,56;22,58;22,56
03/04/2012 15:49:00;22,56;22,54;22,57;22,53
03/04/2012 15:50:00;22,54;22,55;22,56;22,54
03/04/2012 15:51:00;22,55;22,56;22,57;22,55
03/04/2012 15:52:00;22,55;22,55;22,56;22,55
03/04/2012 15:53:00;22,56;22,56;22,56;22,54
03/04/2012 15:54:00;22,56;22,55;22,56;22,54
03/04/2012 15:55:00;22,55;22,55;22,56;22,55
03/04/2012 15:56:00;22,55;22,55;22,56;22,55
03/04/2012 15:57:00;22,56;22,58;22,58;22,55
03/04/2012 15:58:00;22,58;22,6;22,6;22,57
03/04/2012 15:59:00;22,6;22,59;22,6;22,58
03/04/2012 16:00:00;22,59;22,6;22,6;22,58
03/04/2012 16:01:00;22,6;22,59;22,6;22,58
03/04/2012 16:02:00;22,59;22,59;22,59;22,58
03/04/2012 16:03:00;22,59;22,59;22,59;22,58
03/04/2012 16:04:00;22,59;22,65;22,65;22,59
03/04/2012 16:05:00;22,64;22,67;22,68;22,64
03/04/2012 16:06:00;22,67;22,68;22,69;22,66
03/04/2012 16:07:00;22,68;22,71;22,73;22,67
03/04/2012 16:08:00;22,71;22,71;22,72;22,71
03/04/2012 16:09:00;22,71;22,72;22,72;22,7
03/04/2012 16:10:00;22,72;22,72;22,73;22,72
03/04/2012 16:11:00;22,72;22,72;22,73;22,71
03/04/2012 16:12:00;22,72;22,7;22,72;22,7
03/04/2012 16:13:00;22,7;22,7;22,7;22,69
03/04/2012 16:14:00;22,69;22,7;22,7;22,69
03/04/2012 16:15:00;22,7;22,71;22,72;22,7
03/04/2012 16:16:00;22,71;22,69;22,71;22,68
03/04/2012 16:17:00;22,68;22,69;22,7;22,68
03/04/2012 16:18:00;22,69;22,7;22,7;22,69
03/04/2012 16:19:00;22,7;22,69;22,71;22,69
03/04/2012 16:20:00;22,69;22,7;22,71;22,68
03/04/2012 16:21:00;22,7;22,69;22,7;22,69
03/04/2012 16:22:00;22,69;22,67;22,69;22,67
03/04/2012 16:23:00;22,67;22,67;22,68;22,66
03/04/2012 16:24:00;22,67;22,69;22,69;22,65
03/04/2012 16:25:00;22,69;22,69;22,7;22,67
03/04/2012 16:26:00;22,68;22,66;22,69;22,66
03/04/2012 16:27:00;22,66;22,65;22,66;22,65
03/04/2012 16:28:00;22,65;22,65;22,66;22,65
03/04/2012 16:29:00;22,65;22,64;22,66;22,63
03/04/2012 16:30:00;22,64;22,68;22,68;22,64
03/04/2012 16:31:00;22,68;22,66;22,68;22,64
03/04/2012 16:32:00;22,66;22,63;22,66;22,63
03/04/2012 16:33:00;22,63;22,63;22,64;22,62
03/04/2012 16:34:00;22,63;22,63;22,64;22,62
03/04/2012 16:35:00;22,62;22,63;22,63;22,6
03/04/2012 16:36:00;22,62;22,63;22,63;22,61
03/04/2012 16:37:00;22,63;22,62;22,64;22,62
03/04/2012 16:38:00;22,62;22,62;22,62;22,61
03/04/2012 16:39:00;22,61;22,58;22,62;22,57
03/04/2012 16:40:00;22,58;22,59;22,61;22,57
03/04/2012 16:41:00;22,59;22,6;22,62;22,58
03/04/2012 16:42:00;22,6;22,6;22,61;22,58
